path,type,owner/責任,相依,是否影響測試,是否影響部署,備註
.github/dependabot.yml,config,DevOps/維運,"GitHub Dependabot","否","否","自動升級提醒排程，維持套件安全性" 
.github/pull_request_template.md,doc,維運/審查流程,"n/a","否","否","PR 內建審查模板，確保回報資訊完整" 
.github/workflows/_tmpl_clasp.json,template,DevOps/CI,"GitHub Secrets(SCRIPT_ID)","否","否","clasp 設定樣板，供 workflows 產生個人化 .clasp.json" 
.github/workflows/ci-preview.yml,workflow,DevOps/CI,"npm scripts (e2e:ui,e2e:remote,health); scripts/auto-repair.mjs; scripts/health-check.mjs; Playwright config","是","是","PR/push 預覽佈署並跑本地+遠端 UI、自動修復與健康檢查；與主 CI 重複" 
.github/workflows/codex-audit.yml,workflow,品質稽核,"npm scripts (lint,typecheck,test,e2e,build); Playwright; reports/ 目錄","是","否","手動 /issue_comment 觸發稽核，產出靜態分析與測試報告" 
.github/workflows/gas-deploy.yml,workflow,DevOps/部署,"clasp; scripts/auto-repair.mjs; scripts/health-check.mjs; npm run e2e:*; secrets GAS_*","是","是","main 分支 CI + 部署；執行 Jest、Playwright、本地/遠端 E2E、健康檢查與 GAS 版本佈署" 
.github/workflows/gas-deploy.yml.bak-20250929-054713,workflow-backup,DevOps/歷史備份,"n/a","否","否","舊版部署流程備份，僅供參考不應觸發" 
.github/workflows/npm-auto-upgrade.yml,workflow,DevOps/維運,"npm outdated/npm-check-updates; Playwright; npm test; npm run e2e","是","否","排程/手動套件升級，會開自動 PR，內含測試與 E2E" 
.github/workflows/npm-outdated.yml,workflow,DevOps/維運,"npm outdated; Playwright（手動選項）","否","否","每週產出套件盤點，可手動加跑本地 @ui" 
.github/workflows/predeploy.yml,workflow,DevOps/部署前檢查,"npm run e2e:ui; npm run e2e:remote; scripts/auto-repair.mjs; scripts/health-check.mjs; clasp","是","是","PR/main 佈署前品質關卡：跑 Playwright、本地/遠端健康檢查並推 PROD 版本" 
.github/workflows/新增 文字文件.txt,note,DevOps/歷史記錄,"n/a","否","否","手動摘錄 GitHub CLI 日誌，不會被 runner 執行" 
CHANGELOG.md,doc,產品/知識管理,"n/a","否","否","高層次版本變更紀錄" 
CODEX_TESTING_ISSUES.md,doc,品質/測試,"n/a","否","否","列出已知測試環境問題與 workaround" 
README.md,doc,產品/知識管理,"src/*; scripts/*; workflows","否","否","專案總覽、安裝、HEADING_SCHEMA 說明；需與 AGENTS.md 同步" 
AGENTS.md,doc,維運/流程治理,"n/a","否","否","工作指引與程式規範" 
package.json,config,全端/工具鏈,"npm scripts; jest.config.cjs; tsconfig.test.json; playwright.config.mjs","是","是","定義指令、套件版本與 engines；影響所有自動化流程" 
package-lock.json,lockfile,全端/工具鏈,"npm registry","是","是","鎖定依賴版本，確保 CI 與部署可重現" 
tsconfig.json,config,前端/型別設定,"tsconfig.test.json","是","否","目前僅 re-export 測試設定，實際設定在 tsconfig.test.json" 
tsconfig.test.json,config,前端/型別設定,"Jest、Playwright 型別; NodeNext 模組解析","是","否","測試 TypeScript 編譯選項；include __tests__/、playwright/" 
eslint.config.js,config,全端/品質,"@eslint/js; @typescript-eslint; eslint-plugin-jest; eslint-plugin-playwright","是","否","Flat config；控制 lint 範圍與規則" 
prettier.config.cjs,config,全端/品質,"Prettier","否","否","格式化規則" 
depcheck.config.cjs,config,全端/品質,"depcheck","否","否","自訂忽略與特殊解析" 
knip.json,config,全端/品質,"knip","否","否","定義未使用程式碼掃描忽略清單" 
jest.config.cjs,config,前端/測試,"ts-jest; test/setup-tests.cjs; tsconfig.test.json","是","否","主要 Jest 設定（jsdom + coverage）" 
jest.config.js,config,前端/測試,"Jest","是","否","備用 node 環境設定（與 jest.config.cjs 重複）" 
playwright.config.mjs,config,前端/E2E,"scripts/url-helper.mjs; dotenv","是","否","定義 Playwright 多專案與遠端 baseURL"
clasprc_base64.txt,secret-template,DevOps/部署,"clasp","否","是","提供 base64 範例，供 CI 手動修復使用" 
gas-deploy.mjs,script,DevOps/部署,"googleapis; Apps Script API; process.env","否","是","以 OAuth/ADC 呼叫 Apps Script API 進行部署" 
get-refresh-token.mjs,script,DevOps/部署,"googleapis OAuth","否","否","協助人工取得 GAS OAuth refresh token" 
outdated.json,sample-data,維運/示例,"npm outdated","否","否","過往 npm outdated 結果，應以 workflow 動態產生" 
'新增 文字文件.txt',note,維運/歷史記錄,"n/a","否","否","本機指令備忘，與 workflows 同名文件相呼應" 
aa01_ui_code_audit_suspicious.csv,data,品質稽核,"reports/round-*","否","否","稽核疑似問題清單" 
桃園市_長照給付資料庫_v1.xlsx,data,業務/參考資料,"src/DataStore.gs","否","否","桃園市長照給付資料庫快照；程式以 DataStore 為準" 
src/AppCore.gs,AppsScript,後端/GAS,"DocumentApp; DataStore 常數; applyH1_* 函式","是","是","功能表、側欄建立、WebApp & 文件寫入主流程" 
src/DataStore.gs,AppsScript,後端/GAS,"DriveApp; SpreadsheetApp; 靜態常數","是","是","集中資源 ID 與模板字典；供 AppCore/其他模組取用" 
src/Main.gs,AppsScript,後端/GAS,"Logger","否","否","示範函式（hello），可用於 smoke 測試" 
src/Sidebar.html,Frontend,前端/Sidebar,"Apps Script google.script.run; CSS/JS 內嵌","是","否","Google Docs Sidebar UI 與互動腳本" 
src/appsscript.json,AppsScript-manifest,後端/GAS,"clasp; GAS","是","是","Apps Script manifest；定義 webapp、exceptionLogging" 
__tests__/sample.test.ts,test,前端/單元測試,"Jest","是","否","範例單元測試" 
__tests__/a11y/sidebar-a11y.test.ts,test,前端/可近性,"jest-axe; Sidebar.html","是","否","Axe 無障礙檢查；與 Playwright @ui 分工" 
__tests__/fixtures/basic-form.json,data,前端/測試資料,"__tests__/a11y","是","否","側欄填寫範例輸入" 
__tests__/scripts/url-helper.test.ts,test,前端/工具,"scripts/url-helper.mjs","是","否","驗證 URL 組裝邏輯（本地/遠端）" 
__tests__/a11y,dir,前端/可近性,"see children","是","否","資料夾說明（含測試）" 
__tests__/fixtures,dir,前端/測試資料,"n/a","否","否","存放測試 JSON" 
__tests__/scripts,dir,前端/工具測試,"n/a","否","否","URL helper 測試集合" 
test/setup-tests.cjs,config,前端/測試,"@testing-library/jest-dom","是","否","Jest setup，載入 DOM 擴充與 Pollyfills" 
test/setup-tests.d.ts,types,前端/測試,"Jest","是","否","提供 setup-tests.cjs 型別宣告" 
playwright/ui.spec.ts,e2e,前端/E2E,"playwright/utils/openPage.ts; Sidebar UI","是","否","@ui 標籤：檢查 RWD、側欄互動" 
playwright/remote.spec.ts,e2e,前端/E2E,"playwright/utils/openPage.ts; GAS_WEBAPP_URL","是","否","@remote smoke：對已部署 WebApp 進行遠端檢查" 
playwright/utils/openPage.ts,util,前端/E2E,"scripts/url-helper.mjs","是","否","共用開頁邏輯，支援 local/remote baseURL 與 auth" 
playwright,dir,前端/E2E,"Playwright config","是","否","E2E 測試主目錄" 
playwright/utils,dir,前端/E2E,"n/a","否","否","Playwright 共用工具資料夾" 
scripts/auto-repair.mjs,script,DevOps/測試自動修復,"npm run e2e:remote; scripts/health-check.mjs","是","否","包裝 Playwright 重試與健康檢查" 
scripts/health-check.mjs,script,DevOps/監控,"undici fetch","否","是","對 GAS Web App 執行 HTTP 健康檢查，允許 200/302" 
scripts/run-pa11y.mjs,script,品質/可近性,"pa11y; scripts/url-helper.mjs","是","否","執行 Pa11y 無障礙掃描，拆分責任" 
scripts/url-helper.mjs,util,全端/共用,"URL; process.env","是","否","組裝本地/遠端 E2E URL；供 scripts/、Playwright 共用" 
scripts/url-helper.d.ts,types,全端/共用,"scripts/url-helper.mjs","是","否","TypeScript 宣告檔，支援 Jest/TS" 
reports/codebase-overview.md,doc,維運/知識管理,"整體檔案","否","否","上一輪產出的完整程式碼說明" 
reports/round-0/summary.md,doc,專案審查,"n/a","否","否","round-0 稽核摘要" 
reports/round-1/summary.md,doc,專案審查,"n/a","否","否","round-1 稽核摘要" 
reports/round-2/summary.md,doc,專案審查,"n/a","否","否","round-2 稽核摘要" 
reports/round-3/summary.md,doc,專案審查,"n/a","否","否","round-3 稽核摘要" 
reports/round-5/summary.md,doc,專案審查,"n/a","否","否","round-5 稽核摘要" 
docs/upgrade-plan.md,doc,維運/升級,"npm-auto-upgrade workflow","否","否","升級計畫草稿" 
docs/upgrade-report.md,doc,維運/升級,"reports/round-*","否","否","升級報告成品" 
reports,dir,維運/報告,"n/a","否","否","報告與盤點輸出目錄" 
docs,dir,維運/文件,"n/a","否","否","手動文件目錄" 
__tests__,dir,前端/測試,"n/a","否","否","Jest 測試根目錄" 
src,dir,後端/GAS,"n/a","是","是","Apps Script 原始碼根目錄" 
scripts,dir,DevOps/工具,"n/a","是","是","CI/E2E 輔助腳本集合" 
root,dir,專案根,"n/a","是","是","含 npm、clasp、工作流設定" 
